City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Chokurdakh,RU,70.6333,147.9167,7.14,96,100,3.83,light snow
153,Sindor,RU,62.8629,51.8905,21.83,93,100,9.91,light snow
154,Matay,EG,28.419,30.7792,68.27,52,54,7.49,broken clouds
155,Wellington,NZ,-41.2866,174.7756,64.06,73,75,5.01,broken clouds
156,Geraldton,AU,-28.7667,114.6,57.61,88,90,4.61,overcast clouds
157,Tiksi,RU,71.6872,128.8694,-11.85,96,97,6.38,overcast clouds
158,Talara,PE,-4.5772,-81.2719,70.56,73,0,17.27,clear sky
159,Boa Vista,BR,2.8197,-60.6733,93.18,38,75,12.66,broken clouds
160,Vierzon,FR,47.2101,2.0625,45.19,83,100,2.44,overcast clouds
161,Wum,CM,6.3833,10.0667,67.28,87,74,3.44,broken clouds
162,Capuluan,PH,13.8147,122.5181,77.54,92,100,6.78,light rain
163,Sabha,LY,27.0377,14.4283,67.66,43,100,4.32,overcast clouds
164,Nouadhibou,MR,20.931,-17.0347,73.38,60,100,10.36,overcast clouds
165,Havoysund,NO,70.9963,24.6622,41.88,82,97,24.38,overcast clouds
166,Tabuk,PH,17.4189,121.4443,73.99,92,93,3.53,moderate rain
167,Venado Tuerto,AR,-33.7456,-61.9688,82.76,48,49,4.14,scattered clouds
168,Tuatapere,NZ,-46.1333,167.6833,47.64,90,88,8.68,overcast clouds
169,Isangel,VU,-19.55,169.2667,80.71,78,75,0.0,broken clouds
170,Urumqi,CN,43.801,87.6005,31.15,86,0,2.24,clear sky
171,Carnot,CF,4.9409,15.8665,70.03,94,97,1.83,light rain
172,Saint George,US,37.1041,-113.5841,77.34,23,1,1.99,clear sky
173,Pemangkat,ID,1.1667,108.9667,76.78,88,100,4.25,overcast clouds
174,Hobyo,SO,5.3505,48.5268,79.09,70,96,8.01,overcast clouds
175,Port Augusta,AU,-32.5,137.7667,57.34,58,41,4.05,scattered clouds
176,Waldshut-Tiengen,DE,47.6232,8.2172,45.14,98,93,1.63,overcast clouds
177,Pringsewu,ID,-5.3582,104.9744,72.01,96,100,2.35,overcast clouds
178,Vardo,NO,70.3705,31.1107,38.95,87,75,18.41,broken clouds
179,Nanortalik,GL,60.1432,-45.2371,21.11,58,0,35.79,clear sky
180,Lata,PT,40.1629,-8.3327,56.8,73,56,3.96,broken clouds
181,Qaqortoq,GL,60.7167,-46.0333,8.31,66,0,11.05,clear sky
182,Olinda,BR,-8.0089,-34.8553,82.13,74,40,9.22,scattered clouds
183,Harper,LR,4.375,-7.7169,79.21,83,47,6.73,light rain
184,Saskylakh,RU,71.9167,114.0833,-28.3,100,45,3.69,scattered clouds
185,Rajpur,IN,22.3,74.35,67.44,42,73,7.94,broken clouds
186,Sri Aman,MY,1.2376,111.4621,75.25,100,100,0.0,overcast clouds
187,Asilah,MA,35.465,-6.0348,62.46,66,0,3.2,clear sky
188,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,64,75,13.42,light snow
189,Provideniya,RU,64.3833,-173.3,19.51,73,40,15.66,scattered clouds
190,Erzin,TR,36.9559,36.2,48.72,36,8,2.91,clear sky
191,Lethem,GY,3.3803,-59.7968,91.45,55,20,11.5,few clouds
192,Narsaq,GL,60.9167,-46.05,2.01,72,2,5.1,clear sky
193,Buala,SB,-8.145,159.5921,84.29,71,94,7.27,overcast clouds
194,Banda Aceh,ID,5.5577,95.3222,78.12,85,99,10.13,overcast clouds
195,Talnakh,RU,69.4865,88.3972,1.87,96,100,11.92,light snow
196,Torbay,CA,47.6666,-52.7314,41.76,96,90,11.5,light intensity drizzle
197,Grand Gaube,MU,-20.0064,57.6608,73.8,77,64,3.0,broken clouds
198,Tyukhtet,RU,56.5389,89.3011,23.68,95,100,9.62,light snow
199,Yichang,CN,30.7144,111.2847,56.17,63,81,2.1,broken clouds
200,Alice Springs,AU,-23.7,133.8833,62.15,55,3,0.0,clear sky
201,Nur,PL,52.6683,22.3221,41.79,86,0,9.22,clear sky
202,Chkalovskoye,RU,44.8392,133.0436,24.87,79,12,6.6,few clouds
203,Kachiry,KZ,53.0675,76.1036,11.03,98,86,3.6,overcast clouds
204,Airai,TL,-8.9266,125.4092,60.39,81,73,3.13,broken clouds
205,Manokwari,ID,-0.8667,134.0833,79.39,78,100,3.27,overcast clouds
206,Bairiki,KI,1.3292,172.9752,84.2,70,40,9.22,scattered clouds
207,Vostok,RU,46.4856,135.8833,11.01,95,54,5.75,broken clouds
208,Faya,SA,18.3851,42.4509,59.52,71,0,2.46,clear sky
209,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,88,75,16.87,broken clouds
210,Yumen,CN,40.2833,97.2,30.31,32,28,22.57,scattered clouds
211,Katsuura,JP,35.1333,140.3,57.31,80,35,7.96,scattered clouds
212,Esperance,AU,-33.8667,121.9,60.64,45,99,11.01,overcast clouds
213,Manama,BH,26.2154,50.5832,73.38,67,0,3.44,clear sky
214,Ovsyanka,RU,55.9575,92.5519,29.37,90,91,13.4,snow
215,Clyde River,CA,70.4692,-68.5914,3.34,81,100,4.59,overcast clouds
216,Zhigansk,RU,66.7697,123.3711,-26.64,100,95,2.95,overcast clouds
217,Eberbach,DE,49.4694,8.9928,45.61,95,67,4.25,broken clouds
218,Rio Gallegos,AR,-51.6226,-69.2181,55.45,22,75,25.32,broken clouds
219,Dingle,PH,10.9995,122.6711,74.93,95,99,6.96,overcast clouds
220,Adrar,MR,20.5022,-10.0711,76.03,29,98,9.24,overcast clouds
221,Itarema,BR,-2.9248,-39.9167,80.92,75,7,15.77,clear sky
222,Port Blair,IN,11.6667,92.75,79.45,85,84,7.43,broken clouds
223,Katobu,ID,-4.9408,122.5276,73.98,96,100,2.98,overcast clouds
224,Gornopravdinsk,RU,60.05,69.9,16.2,93,100,9.08,overcast clouds
225,Atikokan,CA,48.7555,-91.6216,24.91,84,78,2.24,broken clouds
226,Jalu,LY,29.0331,21.5482,70.02,39,100,7.16,overcast clouds
227,Jian,CN,27.1172,114.9793,60.01,60,95,3.13,overcast clouds
228,Bad Krozingen,DE,47.9167,7.7,46.51,89,66,1.01,broken clouds
229,Vesyegonsk,RU,58.664,37.2604,29.52,72,99,12.03,overcast clouds
230,Asfi,MA,32.2994,-9.2372,62.15,79,0,11.65,clear sky
231,Foz,ES,43.5692,-7.2544,58.41,91,100,5.86,overcast clouds
232,Chapais,CA,49.7834,-74.8492,28.18,80,100,4.59,overcast clouds
233,Boende,CD,-0.2167,20.8667,70.72,98,100,2.01,overcast clouds
234,Sembe,CG,1.6481,14.5806,73.45,90,100,0.38,light rain
235,Uniontown,US,39.9001,-79.7164,39.7,48,98,1.99,overcast clouds
236,Norfolk,US,42.1668,-71.2495,47.03,64,76,1.01,broken clouds
237,Nishihara,JP,26.1842,127.7558,67.28,56,20,8.05,few clouds
238,Muroto,JP,33.2833,134.15,48.24,62,54,5.79,broken clouds
239,Lagoa,PT,39.05,-27.9833,66.47,85,1,18.95,clear sky
240,Cabo San Lucas,MX,22.8909,-109.9124,88.61,57,99,1.99,overcast clouds
241,Saint Anthony,US,45.0205,-93.218,37.78,70,75,1.01,broken clouds
242,Nome,US,64.5011,-165.4064,0.16,85,34,5.19,scattered clouds
243,Lesnoy,RU,57.6198,63.0784,12.6,95,24,6.96,few clouds
244,Ostrovnoy,RU,68.0531,39.5131,25.68,94,100,7.36,overcast clouds
245,Khartoum,SD,15.5518,32.5324,80.94,14,0,9.93,clear sky
246,Coruripe,BR,-10.1256,-36.1756,79.02,80,43,13.31,scattered clouds
247,Mogadishu,SO,2.0371,45.3438,78.89,81,28,8.59,scattered clouds
248,Neiafu,TO,-18.65,-173.9833,81.28,61,20,10.36,few clouds
249,Carutapera,BR,-1.195,-46.02,78.69,83,75,8.75,broken clouds
250,Gejiu,CN,23.306,103.1635,47.95,98,100,3.38,overcast clouds
251,Kroya,ID,-7.6331,109.2461,75.2,88,100,0.72,overcast clouds
252,Zabol,AF,32.25,67.25,36.91,39,2,2.01,clear sky
253,Norman Wells,CA,65.282,-126.8329,3.24,78,75,4.61,light snow
254,Rawson,AR,-43.3002,-65.1023,52.23,50,32,20.65,scattered clouds
255,Yarmouth,US,41.7057,-70.2286,48.18,66,61,15.01,broken clouds
256,Touros,BR,-5.1989,-35.4608,81.5,74,96,13.91,overcast clouds
257,Dehui,CN,44.5333,125.7,25.11,91,34,7.23,scattered clouds
258,Aripuana,BR,-9.1667,-60.6333,79.43,81,100,2.01,moderate rain
259,Salalah,OM,17.0151,54.0924,75.2,48,3,2.68,clear sky
260,Tateyama,JP,34.9833,139.8667,57.22,84,4,11.74,clear sky
261,Pacific Grove,US,36.6177,-121.9166,76.6,67,1,5.99,clear sky
262,Kerur,IN,16.0167,75.5667,72.66,88,40,8.3,scattered clouds
263,San Patricio,US,28.017,-97.5169,86.09,49,0,13.98,clear sky
264,Ixtapa,MX,20.7,-105.2,83.23,73,99,5.01,overcast clouds
265,Karpathos,GR,35.507,27.2132,64.36,72,0,13.8,clear sky
266,Mengyin,CN,35.7069,117.9264,45.12,63,3,2.13,clear sky
267,Lindi,TZ,-10.0,39.7167,74.64,79,12,3.96,few clouds
268,Ankazoabo,MG,-22.2833,44.5167,73.85,59,7,7.0,clear sky
269,Sterling,US,39.0062,-77.4286,46.54,52,90,20.0,overcast clouds
270,Pala,TD,9.3642,14.9046,81.5,27,48,3.51,scattered clouds
271,Seropedica,BR,-22.7439,-43.7075,78.62,87,24,1.07,few clouds
272,Pisco,PE,-13.7,-76.2167,69.85,68,0,17.27,clear sky
273,Leningradskiy,RU,69.3833,178.4167,13.32,95,99,9.1,overcast clouds
274,Vao,NC,-22.6667,167.4833,76.15,76,4,11.86,clear sky
275,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,77,20,11.5,few clouds
276,Kargopol,RU,61.5071,38.9456,29.32,74,100,14.43,overcast clouds
277,Olafsvik,IS,64.8945,-23.7142,36.86,92,90,24.29,overcast clouds
278,Itoman,JP,26.1247,127.6694,68.02,56,20,8.05,few clouds
279,Benjamin Constant,BR,-4.3831,-70.0311,77.13,96,99,3.18,very heavy rain
280,Bukama,CD,-9.2,25.85,68.04,95,100,2.1,overcast clouds
281,Cabedelo,BR,-6.9811,-34.8339,80.06,74,15,11.23,few clouds
282,Biak,ID,-0.9131,122.8766,76.51,83,100,1.7,overcast clouds
283,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,73,34,12.3,scattered clouds
284,Chumikan,RU,54.7183,135.315,8.55,83,18,20.85,few clouds
285,Zhezkazgan,KZ,47.8043,67.7144,27.5,71,100,3.06,overcast clouds
286,San Quintin,MX,30.4833,-115.95,76.48,38,0,9.86,clear sky
287,Saint-Leu,RE,-21.15,55.2833,72.43,88,47,2.26,scattered clouds
288,Frederikshavn,DK,57.4407,10.5366,44.55,81,100,9.51,overcast clouds
289,Leh,IN,34.1667,77.5833,14.36,63,1,3.89,clear sky
290,Dryden,CA,49.7833,-92.7503,28.69,54,75,5.75,broken clouds
291,Hirara,JP,24.8,125.2833,70.07,64,20,10.36,few clouds
292,Igualada,ES,41.581,1.6172,54.25,82,89,2.33,overcast clouds
293,Saint-Georges,GD,12.0564,-61.7485,81.03,75,36,14.29,scattered clouds
294,Kenai,US,60.5544,-151.2583,16.09,87,10,7.85,clear sky
295,Svetlyy,RU,54.675,20.1347,39.25,85,79,7.58,broken clouds
296,Oranjemund,NA,-28.55,16.4333,60.91,92,5,10.47,clear sky
297,Asau,RO,46.4333,26.4,45.75,85,100,3.58,overcast clouds
298,Kangaatsiaq,GL,68.3065,-53.4641,13.26,88,94,5.21,overcast clouds
299,San Bartolome De Tirajana,ES,27.9248,-15.5733,57.67,75,40,10.36,scattered clouds
300,Broome,US,42.2506,-75.833,39.83,76,88,5.99,overcast clouds
301,Calafell,ES,41.2,1.5683,58.89,81,58,1.99,broken clouds
302,Mahon,ES,39.8885,4.2658,57.76,88,90,25.32,overcast clouds
303,Trofors,NO,65.5333,13.4063,45.86,95,96,7.2,overcast clouds
304,Baykalovo,RU,57.3981,63.7684,14.02,94,54,7.81,broken clouds
305,Klaksvik,FO,62.2266,-6.589,49.12,93,100,38.45,overcast clouds
306,Nagytarcsa,HU,47.5313,19.2834,43.92,93,75,1.14,broken clouds
307,Noumea,NC,-22.2763,166.4572,84.18,99,0,5.55,clear sky
308,Paracuru,BR,-3.41,-39.0306,82.42,77,4,11.9,clear sky
309,Gravdal,NO,68.1214,13.5031,44.49,70,40,2.3,light rain
310,Vaitape,PF,-16.5167,-151.75,80.8,73,99,10.74,overcast clouds
311,Hailar,CN,49.2,119.7,21.51,77,27,7.54,scattered clouds
312,Platanos,GR,37.6667,21.6167,63.09,81,100,7.4,overcast clouds
313,Tarbert,GB,55.8628,-5.4162,49.98,84,100,6.96,overcast clouds
314,Huarmey,PE,-10.0681,-78.1522,67.87,77,36,10.04,scattered clouds
315,Fecamp,FR,49.7579,0.3746,49.08,83,100,6.2,overcast clouds
316,Sebastian,US,35.1668,-94.2669,74.41,52,0,3.58,clear sky
317,Abu Kamal,SY,34.4506,40.9171,65.75,46,100,5.48,overcast clouds
318,Assiniboia,CA,49.6334,-105.9845,42.1,81,100,8.48,overcast clouds
319,Wiarton,CA,44.7407,-81.1332,39.04,74,99,10.16,overcast clouds
320,Wanning,CN,18.8003,110.3967,73.67,85,98,7.94,overcast clouds
321,Puerto Ayacucho,VE,5.6639,-67.6236,85.23,60,43,4.79,scattered clouds
322,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,18.41,scattered clouds
323,Balkhash,KZ,46.844,74.9804,32.65,63,100,0.54,overcast clouds
324,Rio Grande,BR,-32.035,-52.0986,78.91,82,26,19.15,scattered clouds
325,Acarau,BR,-2.8856,-40.12,81.0,77,9,17.11,clear sky
326,Vestmannaeyjar,IS,63.4427,-20.2734,39.74,69,100,36.19,light rain
327,Baiyin,CN,36.5583,104.2081,34.84,37,100,1.97,overcast clouds
328,Pindiga,NG,9.9833,10.9333,77.5,24,89,3.18,overcast clouds
329,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,76,75,1.01,broken clouds
330,Kushima,JP,31.4583,131.2333,48.24,79,0,5.66,clear sky
331,Bulgan,MN,48.8125,103.5347,28.63,47,100,3.0,overcast clouds
332,Koslan,RU,63.4564,48.8989,23.83,94,100,10.69,light snow
333,Punta De Bombon,PE,-17.1717,-71.7931,65.55,76,63,6.51,broken clouds
334,Tapes,BR,-30.6733,-51.3958,71.11,80,5,16.31,clear sky
