City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
55,Hilo,US,79.79,moderate rain,19.7297,-155.09,
56,Ulladulla,AU,61.88,clear sky,-35.35,150.4667,
57,Bengkulu,ID,75.31,overcast clouds,-3.8004,102.2655,
58,Lorengau,PG,82.45,overcast clouds,-2.0226,147.2712,
59,Houma,US,75.99,clear sky,29.5958,-90.7195,
61,Zhuhai,CN,71.06,few clouds,22.2769,113.5678,
62,Namibe,AO,72.7,overcast clouds,-15.1961,12.1522,
65,Nattarasankottai,IN,77.68,overcast clouds,9.8667,78.5667,
66,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,
68,Meulaboh,ID,76.37,overcast clouds,4.1363,96.1285,
69,Wamba,NG,77.58,scattered clouds,8.9333,8.6,
70,Poum,NC,79.29,scattered clouds,-20.2333,164.0167,
73,Bethel,US,45.75,broken clouds,41.3712,-73.414,
75,Samarai,PG,83.75,broken clouds,-10.6167,150.6667,
76,Dunedin,NZ,54.81,scattered clouds,-45.8742,170.5036,
77,Avera,US,65.71,clear sky,33.194,-82.5271,
78,Cockburn Town,TC,82.4,broken clouds,21.4612,-71.1419,
79,Kochi,IN,75.18,light rain,9.9399,76.2602,
80,Morondava,MG,77.79,overcast clouds,-20.2833,44.2833,
82,Georgetown,MY,79.9,few clouds,5.4112,100.3354,
83,Saint-Philippe,RE,72.95,broken clouds,-21.3585,55.7679,
84,Hermanus,ZA,64.9,overcast clouds,-34.4187,19.2345,
85,Lerwick,GB,50.0,overcast clouds,60.1545,-1.1494,
86,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,
87,Hobart,AU,48.02,broken clouds,-42.8794,147.3294,
89,Magole,TZ,77.83,scattered clouds,-6.3667,37.3667,
90,Uruburetama,BR,79.45,clear sky,-3.625,-39.5083,
91,Te Anau,NZ,46.87,light rain,-45.4167,167.7167,
92,Vaini,TO,80.76,few clouds,-21.2,-175.2,
93,Nikolskoye,RU,32.88,broken clouds,59.7035,30.7861,
95,Slave Lake,CA,30.18,overcast clouds,55.2834,-114.769,
97,Adre,TD,74.01,clear sky,13.4667,22.2,
98,Kapaa,US,79.12,light rain,22.0752,-159.319,
99,Ancud,CL,56.73,light rain,-41.8697,-73.8203,
102,Weligama,LK,78.35,overcast clouds,5.9667,80.4167,
103,Brokopondo,SR,77.07,overcast clouds,4.75,-55.1667,
104,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,
106,Nantucket,US,47.97,overcast clouds,41.2835,-70.0995,
107,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,
108,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,
109,Sao Felix Do Xingu,BR,72.82,moderate rain,-6.6447,-51.995,
110,Surt,LY,66.69,clear sky,31.2089,16.5887,
111,Awjilah,LY,67.39,overcast clouds,29.1081,21.2869,
112,Ahipara,NZ,68.04,clear sky,-35.1667,173.1667,
114,Jinxiang,CN,58.39,broken clouds,27.4327,120.6062,
115,Severo-Kurilsk,RU,34.34,light rain,50.6789,156.125,
116,Naples,IT,59.61,broken clouds,40.8333,14.25,
117,Garowe,SO,69.89,broken clouds,8.4054,48.4845,
118,Port Elizabeth,ZA,64.69,clear sky,-33.918,25.5701,
120,Carnarvon,AU,68.07,broken clouds,-24.8667,113.6333,
121,Lucena,PH,78.75,overcast clouds,13.9314,121.6172,
123,Crestview,US,71.51,clear sky,30.7621,-86.5705,
124,Butaritari,KI,82.44,overcast clouds,3.0707,172.7902,
125,Mar Del Plata,AR,71.1,few clouds,-38.0023,-57.5575,
126,Sassandra,CI,78.64,scattered clouds,4.95,-6.0833,
127,Puerto Escondido,MX,83.3,few clouds,15.85,-97.0667,
